name,stars,forks,watchers,open_issues,primary_language,languages,created_at,updated_at
openpose,31969,7917,31969,343,C++,"['C++', 'Cuda', 'CMake', 'Shell', 'HCL', 'Batchfile', 'Python']",2017-04-24T14:06:31Z,2025-03-03T21:06:48Z
run,31914,2620,31914,42,,[],2022-04-10T05:42:40Z,2025-03-03T16:14:46Z
vault,31882,4288,31882,1329,Go,"['Go', 'MDX', 'JavaScript', 'Handlebars', 'HCL', 'TypeScript', 'Shell', 'SCSS', 'Makefile', 'Dockerfile', 'Batchfile', 'HTML']",2015-02-25T00:15:59Z,2025-03-03T20:47:25Z
beego,31878,5630,31878,6,Go,"['Go', 'Makefile', 'Shell', 'Smarty']",2012-02-29T02:32:08Z,2025-03-03T20:46:36Z
chatgpt-web,31875,11231,31875,1,Vue,"['Vue', 'TypeScript', 'Less', 'HTML', 'Dockerfile', 'JavaScript', 'Shell', 'Batchfile', 'CSS']",2023-02-09T03:21:37Z,2025-03-03T10:42:47Z
my-tv,31829,3574,31829,141,C,"['C', 'Kotlin', 'Java', 'CMake', 'Makefile', 'Shell']",2023-12-04T12:18:39Z,2025-03-03T15:28:18Z
mattermost,31788,7583,31788,954,TypeScript,"['TypeScript', 'Go', 'JavaScript', 'SCSS', 'HTML', 'Makefile', 'Shell', 'CSS', 'PLpgSQL', 'Dockerfile', 'Rich Text Format', 'Handlebars']",2015-06-15T06:50:02Z,2025-03-03T19:43:46Z
swc,31776,1268,31776,421,Rust,"['Rust', 'JavaScript', 'TypeScript', 'Shell', 'Python', 'SCSS', 'RenderScript']",2017-12-22T11:40:14Z,2025-03-03T14:30:36Z
selenium,31725,8348,31725,231,Java,"['Java', 'C#', 'C++', 'JavaScript', 'Ruby', 'Python', 'HTML', 'Starlark', 'Rust', 'TypeScript', 'C', 'Shell', 'PowerShell', 'Makefile', 'Dockerfile', 'Ragel', 'XSLT', 'ASP.NET', 'Batchfile', 'CSS']",2013-01-14T21:40:56Z,2025-03-03T21:22:02Z
modern-unix,31691,796,31691,65,,[],2021-01-12T00:50:14Z,2025-03-03T19:16:25Z
AnotherRedisDesktopManager,31691,2617,31691,134,JavaScript,"['JavaScript', 'SCSS', 'HTML']",2019-01-08T06:01:56Z,2025-03-03T15:40:26Z
RevokeMsgPatcher,31687,3567,31687,74,C#,['C#'],2019-07-21T15:12:52Z,2025-03-03T20:06:09Z
android-open-project,31683,11911,31683,28,,[],2014-01-05T15:20:15Z,2025-03-03T18:19:12Z
ControlNet,31598,2828,31598,449,Python,"['Python', 'Shell']",2023-02-01T02:43:30Z,2025-03-03T21:35:23Z
bruno,31568,1484,31568,1343,JavaScript,"['JavaScript', 'HTML', 'TypeScript', 'CSS', 'Shell', 'SCSS']",2022-09-27T20:51:45Z,2025-03-03T21:00:49Z
